vect_label,vect_offs,comment
Power_On_Reset(PC),0x00000000,RESET
Power_On_Reset(SP),0x00000004,RESET
Manual_Reset(PC),0x00000008,Manual reset
Manual_Reset(SP),0x0000000C,Manual reset
Illegal_instr,0x00000010,General Illegal instruction int
Slot_illegal,0x00000018,Slot illegal instruction int
CPUaddr_error,0x00000024,CPU address error
DMACaddr_error,0x00000028,DMAC address error
NMI,0x0000002C,NMI interrupt
usr_break,0x00000030,UBC User break interrupt
FPU_excep,0x00000034,FPU exception
HUDI_excep,0x00000038,H-UDI exception
INT_TRAPA32,0x00000080,User TRAPA 32 interrupt
INT_TRAPA33,0x00000084,User TRAPA 33 interrupt
INT_TRAPA34,0x00000088,User TRAPA 34 interrupt
INT_TRAPA35,0x0000008c,User TRAPA 35 interrupt
INT_TRAPA36,0x00000090,User TRAPA 36 interrupt
INT_TRAPA37,0x00000094,User TRAPA 37 interrupt
INT_TRAPA38,0x00000098,User TRAPA 38 interrupt
INT_TRAPA39,0x0000009c,User TRAPA 39 interrupt
INT_TRAPA40,0x000000a0,User TRAPA 40 interrupt
INT_TRAPA41,0x000000a4,User TRAPA 41 interrupt
INT_TRAPA42,0x000000a8,User TRAPA 42 interrupt
INT_TRAPA43,0x000000ac,User TRAPA 43 interrupt
INT_TRAPA44,0x000000b0,User TRAPA 44 interrupt
INT_TRAPA45,0x000000b4,User TRAPA 45 interrupt
INT_TRAPA46,0x000000b8,User TRAPA 46 interrupt
INT_TRAPA47,0x000000bc,User TRAPA 47 interrupt
INT_TRAPA48,0x000000c0,User TRAPA 48 interrupt
INT_TRAPA49,0x000000c4,User TRAPA 49 interrupt
INT_TRAPA50,0x000000c8,User TRAPA 50 interrupt
INT_TRAPA51,0x000000cc,User TRAPA 51 interrupt
INT_TRAPA52,0x000000d0,User TRAPA 52 interrupt
INT_TRAPA53,0x000000d4,User TRAPA 53 interrupt
INT_TRAPA54,0x000000d8,User TRAPA 54 interrupt
INT_TRAPA55,0x000000dc,User TRAPA 55 interrupt
INT_TRAPA56,0x000000e0,User TRAPA 56 interrupt
INT_TRAPA57,0x000000e4,User TRAPA 57 interrupt
INT_TRAPA58,0x000000e8,User TRAPA 58 interrupt
INT_TRAPA59,0x000000ec,User TRAPA 59 interrupt
INT_TRAPA60,0x000000f0,User TRAPA 60 interrupt
INT_TRAPA61,0x000000f4,User TRAPA 61 interrupt
INT_TRAPA62,0x000000f8,User TRAPA 62 interrupt
INT_TRAPA63,0x000000fc,User TRAPA 63 interrupt
INT_IRQ0,0x00000100,IRQ0 interrupt
INT_IRQ1,0x00000104,IRQ1 interrupt
INT_IRQ2,0x00000108,IRQ2 interrupt
INT_IRQ3,0x0000010c,IRQ3 interrupt
INT_DMAC0_DEI0,0x00000120,DMAC 0 interrupt
INT_DMAC1_DEI1,0x00000128,DMAC 1 interrupt
INT_DMAC2_DEI2,0x00000130,DMAC 2 interrupt
INT_DMAC3_DEI3,0x00000138,DMAC 3 interrupt
INT_ATU01_ITV,0x00000140,ATU channel 0 interval interrupt
INT_ATU02_ICI0A,0x00000150,ATU channel 0 input capture interrupt A
INT_ATU02_ICI0B,0x00000158,ATU channel 0 input capture interrupt B
INT_ATU03_ICI0C,0x00000160,ATU channel 0 input capture interrupt C
INT_ATU03_ICI0D,0x00000168,ATU channel 0 input capture interrupt D
INT_ATU04_OVI0,0x00000170,ATU channel 0 overflow interrupt
INT_ATU11_IMI1AA,0x00000180,ATU channel 1 input capture/compare-match interrupt A
INT_ATU11_IMI1AB,0x00000184,ATU channel 1 input capture/compare-match interrupt B
INT_ATU11_IMI1AC,0x00000188,ATU channel 1 input capture/compare-match interrupt C
INT_ATU11_IMI1AD,0x0000018c,ATU channel 1 input capture/compare-match interrupt D
INT_ATU12_IMI1AE,0x00000190,ATU channel 1 input capture/compare-match interrupt E
INT_ATU12_IMI1AF,0x00000194,ATU channel 1 input capture/compare-match interrupt F
INT_ATU12_IMI1AG,0x00000198,ATU channel 1 input capture/compare-match interrupt G
INT_ATU12_IMI1AH,0x0000019c,ATU channel 1 input capture/compare-match interrupt H
INT_ATU13_OVI1,0x000001a0,ATU channel 1 counter overflow interrupt A/B
INT_ATU21_IMI2A,0x000001b0,ATU channel 2 input capture/compare-match interrupt A
INT_ATU21_IMI2B,0x000001b4,ATU channel 2 input capture/compare-match interrupt B
INT_ATU21_IMI2C,0x000001b8,ATU channel 2 input capture/compare-match interrupt C
INT_ATU21_IMI2D,0x000001bc,ATU channel 2 input capture/compare-match interrupt D
INT_ATU22_IMI2E,0x000001c0,ATU channel 2 input capture/compare-match interrupt E
INT_ATU22_IMI2F,0x000001c4,ATU channel 2 input capture/compare-match interrupt F
INT_ATU22_IMI2G,0x000001c8,ATU channel 2 input capture/compare-match interrupt G
INT_ATU22_IMI2H,0x000001cc,ATU channel 2 input capture/compare-match interrupt H
INT_ATU23_OVI2,0x000001d0,ATU channel 2 counter overflow interrupt A/B
INT_ATU31_IMI3A,0x000001e0,ATU channel 3 input capture/compare-match interrupt A
INT_ATU31_IMI3B,0x000001e4,ATU channel 3 input capture/compare-match interrupt B
INT_ATU31_IMI3C,0x000001e8,ATU channel 3 input capture/compare-match interrupt C
INT_ATU31_IMI3D,0x000001ec,ATU channel 3 input capture/compare-match interrupt D
INT_ATU32_OVI3,0x000001f0,ATU channel 3 counter overflow interrupt
INT_ATU41_IMI4A,0x00000200,ATU channel 4 input capture/compare-match interrupt A
INT_ATU41_IMI4B,0x00000204,ATU channel 4 input capture/compare-match interrupt B
INT_ATU41_IMI4C,0x00000208,ATU channel 4 input capture/compare-match interrupt C
INT_ATU41_IMI4D,0x0000020c,ATU channel 4 input capture/compare-match interrupt D
INT_ATU42_OVI4,0x00000210,ATU channel 4 counter overflow interrupt
INT_ATU51_IMI5A,0x00000220,ATU channel 5 input capture/compare-match interrupt A
INT_ATU51_IMI5B,0x00000224,ATU channel 5 input capture/compare-match interrupt B
INT_ATU51_IMI5C,0x00000228,ATU channel 5 input capture/compare-match interrupt C
INT_ATU51_IMI5D,0x0000022c,ATU channel 5 input capture/compare-match interrupt D
INT_ATU52_OVI5,0x00000230,ATU channel 5 counter overflow interrupt
INT_ATU6_IMI6A,0x00000240,ATU channel 6 compare-match interrupt A
INT_ATU6_IMI6B,0x00000244,ATU channel 6 compare-match interrupt B
INT_ATU6_IMI6C,0x00000248,ATU channel 6 compare-match interrupt C
INT_ATU6_IMI6D,0x0000024c,ATU channel 6 compare-match interrupt D
INT_ATU7_IMI7A,0x00000250,ATU channel 7 compare-match interrupt A
INT_ATU7_IMI7B,0x00000254,ATU channel 7 compare-match interrupt B
INT_ATU7_IMI7C,0x00000258,ATU channel 7 compare-match interrupt C
INT_ATU7_IMI7D,0x0000025c,ATU channel 7 compare-match interrupt D
INT_ATU81_OSI8A,0x00000260,ATU channel 8 one-shot end interrupt A
INT_ATU81_OSI8B,0x00000264,ATU channel 8 one-shot end interrupt B
INT_ATU81_OSI8C,0x00000268,ATU channel 8 one-shot end interrupt C
INT_ATU81_OSI8D,0x0000026c,ATU channel 8 one-shot end interrupt D
INT_ATU82_OSI8E,0x00000270,ATU channel 8 one-shot end interrupt E
INT_ATU82_OSI8F,0x00000274,ATU channel 8 one-shot end interrupt F
INT_ATU82_OSI8G,0x00000278,ATU channel 8 one-shot end interrupt G
INT_ATU82_OSI8H,0x0000027c,ATU channel 8 one-shot end interrupt H
INT_ATU83_OSI8I,0x00000280,ATU channel 8 one-shot end interrupt I
INT_ATU83_OSI8J,0x00000284,ATU channel 8 one-shot end interrupt J
INT_ATU83_OSI8K,0x00000288,ATU channel 8 one-shot end interrupt K
INT_ATU83_OSI8L,0x0000028c,ATU channel 8 one-shot end interrupt L
INT_ATU84_OSI8M,0x00000290,ATU channel 8 one-shot end interrupt M
INT_ATU84_OSI8N,0x00000294,ATU channel 8 one-shot end interrupt N
INT_ATU84_OSI8O,0x00000298,ATU channel 8 one-shot end interrupt O
INT_ATU84_OSI8P,0x0000029c,ATU channel 8 one-shot end interrupt P
INT_ATU91_CMI9A,0x000002a0,ATU channel 9 compare-match interrupt A
INT_ATU91_CMI9B,0x000002a4,ATU channel 9 compare-match interrupt B
INT_ATU91_CMI9C,0x000002a8,ATU channel 9 compare-match interrupt C
INT_ATU91_CMI9D,0x000002ac,ATU channel 9 compare-match interrupt D
INT_ATU92_CMI9E,0x000002b0,ATU channel 9 compare-match interrupt E
INT_ATU92_CMI9F,0x000002b8,ATU channel 9 compare-match interrupt F
INT_ATU101_CMI10A,0x000002c0,ATU channel 10 compare-match interrupt A
INT_ATU101_CMI10B,0x000002c8,ATU channel 10 compare-match interrupt B
INT_ATU102_IMI10AG,0x000002d0,ATU channel 10 compare-match interrupt C
INT_ATU11_IMI11A,0x000002e0,ATU channel 11 input capture/compare-match interrupt A
INT_ATU11_IMI11B,0x000002e8,ATU channel 11 input capture/compare-match interrupt B
INT_ATU11_OVI1,0x000002ec,ATU channel 11 overflow interrupt
INT_CMT0_CMTI0,0x000002f0,Compare match timer 0 interrupt
INT_ADI0,0x000002f8,A/D converter 0 interrupt
INT_CMT1_CMTI1,0x00000300,Compare match timer 1 interrupt
INT_AD1_ADI1,0x00000308,A/D converter 1 interrupt
INT_SCI0_ERI0,0x00000320,SCI 0 receive-error interrupt
INT_SCI0_RXI0,0x00000324,SCI 0 receive-data-full interrupt
INT_SCI0_TXI0,0x00000328,SCI 0 transmit-data-empty interrupt
INT_SCI0_TEI0,0x0000032c,SCI 0 transmit-end interrupt
INT_SCI1_ERI1,0x00000330,SCI 1 receive-error interrupt
INT_SCI1_RXI1,0x00000334,SCI 1 receive-data-full interrupt
INT_SCI1_TXI1,0x00000338,SCI 1 transmit-data-empty interrupt
INT_SCI1_TEI1,0x0000033c,SCI 1 transmit-end interrupt
INT_SCI2_ERI2,0x00000340,SCI 2 receive-error interrupt
INT_SCI2_RXI2,0x00000344,SCI 2 receive-data-full interrupt
INT_SCI2_TXI2,0x00000348,SCI 2 transmit-data-empty interrupt
INT_SCI2_TEI2,0x0000034c,SCI 2 transmit-end interrupt
INT_SCI3_ERI3,0x00000350,SCI 3 receive-error interrupt
INT_SCI3_RXI3,0x00000354,SCI 3 receive-data-full interrupt
INT_SCI3_TXI3,0x00000358,SCI 3 transmit-data-empty interrupt
INT_SCI3_TEI3,0x0000035c,SCI 3 transmit-end interrupt
INT_SCI4_ERI4,0x00000360,SCI 4 receive-error interrupt
INT_SCI4_RXI4,0x00000364,SCI 4 receive-data-full interrupt
INT_SCI4_TXI4,0x00000368,SCI 4 transmit-data-empty interrupt
INT_SCI4_TEI4,0x0000036c,SCI 4 transmit-end interrupt
INT_HCAN0_ERS,0x00000370,Error passive interrupt request
INT_HCAN0_OVR,0x00000374,Receive overload warning interrupt
INT_HCAN0_RM,0x00000378,Receive message interrupt
INT_HCAN0_SLE,0x0000037c,Mailbox empty interrupt
INT_WDT_ITI,0x00000380,Watchdog timer interval timer interrupt
